"","state","county","tract","Total_2000","White_2000","Black_2000","Indian_2000","Other_Race_2000","Asian_or_Pacific_Islander_2000"
"466","04","013","319000",3823,3291,59,74,192,207
"467","04","013","319101",3152,1431,226,71,373,1051
"468","04","013","319102",10084,6961,310,212,1441,1160
"469","04","013","319200",9357,5779,266,463,2531,318
"470","04","013","319300",1903,1135,11,59,605,93
"471","04","013","319401",5621,4649,328,106,394,144
"472","04","013","319402",4325,3661,159,35,304,166
"473","04","013","319403",5009,4081,123,80,538,187
"474","04","013","319404",3472,3108,82,49,193,40
"475","04","013","319500",5584,4853,31,44,416,240
"476","04","013","319600",5652,4632,180,64,658,118
"477","04","013","319702",8382,5584,438,502,1501,357
"478","04","013","319703",4094,3143,177,162,509,103
"479","04","013","319704",1199,902,41,61,151,44
"480","04","013","319800",7057,5195,420,215,881,346
"481","04","013","319902",2720,2251,143,39,251,36
"482","04","013","319903",6048,5251,130,7,425,235
"483","04","013","319904",5387,4627,147,49,471,93
"484","04","013","319905",5382,4565,200,39,334,244
"485","04","013","319906",3032,2675,80,32,122,123
"486","04","013","319907",2504,2307,71,7,85,34
"487","04","013","319908",2311,1906,70,6,193,136
"488","04","013","319909",2501,2389,32,0,22,58
"489","04","013","319910",3894,3154,103,0,173,464
"490","04","013","320001",5948,4158,568,131,807,284
"491","04","013","320002",5228,938,34,2189,2052,15
"492","04","013","320007",5950,4057,317,225,965,386
"493","04","013","420101",5037,4710,54,11,196,66
"494","04","013","420102",4326,4026,0,20,273,7
"495","04","013","420103",4254,3787,8,84,314,61
"496","04","013","420104",4235,3732,72,0,365,66
"497","04","013","420105",3967,3613,79,0,257,18
"498","04","013","420106",9333,8463,191,39,568,72
"499","04","013","420202",4871,4539,87,47,150,48
"500","04","013","420203",5031,4774,51,31,127,48
"501","04","013","420204",5411,5044,15,21,203,128
"502","04","013","420206",4269,4097,70,35,67,0
"503","04","013","420207",2959,2846,13,6,69,25
"504","04","013","420208",5672,4966,28,125,441,112
"505","04","013","420209",4486,4170,63,12,179,62
"506","04","013","420210",5570,5045,147,85,179,114
"507","04","013","420211",4322,4095,59,6,56,106
"508","04","013","420212",2858,2695,0,12,139,12
"509","04","013","420301",2134,2049,18,0,30,37
"510","04","013","420302",5014,4576,38,0,269,131
"511","04","013","420303",4110,3552,0,0,451,107
"512","04","013","420304",856,805,14,9,28,0
"513","04","013","420400",6462,5318,107,119,884,34
"514","04","013","420501",6372,4673,235,141,1298,25
"515","04","013","420502",6927,5957,172,101,560,137
"516","04","013","420602",5226,4748,119,54,279,26
"517","04","013","420603",4048,3660,45,30,234,79
"518","04","013","420604",4755,4377,52,21,264,41
