"","STATE10","COUNTY10","TRACT10","GEOID10"
"537",4,13,817300,4013817300
"538",4,13,817400,4013817400
"539",4,13,817500,4013817500
"540",4,13,817600,4013817600
"541",4,13,941200,4013941200
"542",4,13,941300,4013941300
"543",4,13,980100,4013980100
"544",4,13,980400,4013980400
"545",4,13,980500,4013980500
"546",4,13,980600,4013980600
"547",4,13,980700,4013980700
"548",4,15,940501,4015940501
"549",4,15,950401,4015950401
"550",4,15,950402,4015950402
"551",4,15,950703,4015950703
"552",4,15,950704,4015950704
"553",4,15,950705,4015950705
"554",4,15,950706,4015950706
"555",4,15,951401,4015951401
"556",4,15,951402,4015951402
"557",4,15,951501,4015951501
"558",4,15,951502,4015951502
"559",4,15,951601,4015951601
"560",4,15,951602,4015951602
"561",4,15,952001,4015952001
"562",4,15,952002,4015952002
"563",4,15,952003,4015952003
"564",4,15,952004,4015952004
"565",4,15,953401,4015953401
"566",4,15,953402,4015953402
"567",4,15,953601,4015953601
"568",4,15,953602,4015953602
"569",4,15,953800,4015953800
"570",4,15,953900,4015953900
"571",4,15,954800,4015954800
"572",4,15,954900,4015954900
"573",4,15,955000,4015955000
"574",4,17,940008,4017940008
"575",4,17,940010,4017940010
"576",4,17,940011,4017940011
"577",4,17,940012,4017940012
"578",4,17,940013,4017940013
"579",4,17,940014,4017940014
"580",4,17,940015,4017940015
"581",4,17,940301,4017940301
"582",4,17,940302,4017940302
"583",4,17,961700,4017961700
"584",4,17,962500,4017962500
"585",4,17,963300,4017963300
"586",4,17,963400,4017963400
"587",4,17,963700,4017963700
"588",4,17,963800,4017963800
"589",4,17,964201,4017964201
"590",4,17,964202,4017964202
"591",4,17,964800,4017964800
"592",4,17,964900,4017964900
"593",4,17,965200,4017965200
"594",4,17,965300,4017965300
"595",4,19,1303,4019001303
"596",4,19,1304,4019001304
"597",4,19,1801,4019001801
"598",4,19,1802,4019001802
"599",4,19,2201,4019002201
"600",4,19,2202,4019002202
"601",4,19,2603,4019002603
"602",4,19,2604,4019002604
"603",4,19,2703,4019002703
"604",4,19,2905,4019002905
"605",4,19,3003,4019003003
"606",4,19,3004,4019003004
"607",4,19,3303,4019003303
"608",4,19,3304,4019003304
"609",4,19,3706,4019003706
"610",4,19,3707,4019003707
"611",4,19,4062,4019004062
"612",4,19,4063,4019004063
"613",4,19,4064,4019004064
"614",4,19,4065,4019004065
"615",4,19,4066,4019004066
"616",4,19,4067,4019004067
"617",4,19,4068,4019004068
"618",4,19,4069,4019004069
"619",4,19,4070,4019004070
"620",4,19,4071,4019004071
"621",4,19,4072,4019004072
"622",4,19,4073,4019004073
"623",4,19,4074,4019004074
"624",4,19,4113,4019004113
"625",4,19,4114,4019004114
"626",4,19,4115,4019004115
"627",4,19,4116,4019004116
"628",4,19,4117,4019004117
"629",4,19,4119,4019004119
"630",4,19,4120,4019004120
"631",4,19,4122,4019004122
"632",4,19,4323,4019004323
"633",4,19,4324,4019004324
"634",4,19,4325,4019004325
"635",4,19,4326,4019004326
"636",4,19,4327,4019004327
"637",4,19,4328,4019004328
"638",4,19,4329,4019004329
"639",4,19,4330,4019004330
"640",4,19,4331,4019004331
"641",4,19,4332,4019004332
"642",4,19,4333,4019004333
"643",4,19,4334,4019004334
"644",4,19,4421,4019004421
"645",4,19,4422,4019004422
"646",4,19,4423,4019004423
"647",4,19,4424,4019004424
"648",4,19,4425,4019004425
"649",4,19,4426,4019004426
"650",4,19,4427,4019004427
"651",4,19,4428,4019004428
"652",4,19,4429,4019004429
"653",4,19,4430,4019004430
"654",4,19,4431,4019004431
"655",4,19,4510,4019004510
"656",4,19,4511,4019004511
"657",4,19,4512,4019004512
"658",4,19,4513,4019004513
"659",4,19,4640,4019004640
"660",4,19,4641,4019004641
"661",4,19,4642,4019004642
"662",4,19,4643,4019004643
"663",4,19,4644,4019004644
"664",4,19,4645,4019004645
"665",4,19,4646,4019004646
"666",4,19,4647,4019004647
"667",4,19,4721,4019004721
"668",4,19,4725,4019004725
"669",4,19,4726,4019004726
"670",4,19,410501,4019410501
"671",4,19,410502,4019410502
"672",4,19,410503,4019410503
"673",4,19,470400,4019470400
"674",4,19,470500,4019470500
"675",4,19,941000,4019941000
"676",4,21,204,4021000204
"677",4,21,205,4021000205
"678",4,21,206,4021000206
"679",4,21,207,4021000207
"680",4,21,208,4021000208
"681",4,21,209,4021000209
"682",4,21,210,4021000210
"683",4,21,211,4021000211
"684",4,21,212,4021000212
"685",4,21,213,4021000213
"686",4,21,214,4021000214
"687",4,21,215,4021000215
"688",4,21,307,4021000307
"689",4,21,308,4021000308
"690",4,21,309,4021000309
"691",4,21,310,4021000310
"692",4,21,311,4021000311
"693",4,21,312,4021000312
"694",4,21,313,4021000313
"695",4,21,314,4021000314
"696",4,21,315,4021000315
"697",4,21,316,4021000316
"698",4,21,317,4021000317
"699",4,21,318,4021000318
"700",4,21,319,4021000319
"701",4,21,603,4021000603
"702",4,21,604,4021000604
"703",4,21,801,4021000801
"704",4,21,802,4021000802
"705",4,21,803,4021000803
"706",4,21,901,4021000901
"707",4,21,902,4021000902
"708",4,21,1303,4021001303
"709",4,21,1304,4021001304
"710",4,21,1305,4021001305
"711",4,21,1306,4021001306
"712",4,21,1403,4021001403
"713",4,21,1404,4021001404
"714",4,21,1405,4021001405
"715",4,21,1406,4021001406
"716",4,21,1407,4021001407
"717",4,21,1408,4021001408
"718",4,21,1701,4021001701
"719",4,21,1702,4021001702
"720",4,21,1703,4021001703
"721",4,21,1704,4021001704
"722",4,21,1705,4021001705
"723",4,21,1706,4021001706
"724",4,21,1707,4021001707
"725",4,21,1708,4021001708
"726",4,21,1709,4021001709
"727",4,21,1710,4021001710
"728",4,21,1711,4021001711
"729",4,21,2001,4021002001
"730",4,21,2002,4021002002
"731",4,21,2003,4021002003
"732",4,21,2101,4021002101
"733",4,21,2102,4021002102
"734",4,21,2103,4021002103
"735",4,21,2200,4021002200
"736",4,21,2300,4021002300
"737",4,21,2400,4021002400
"738",4,21,941300,4021941300
"739",4,21,941400,4021941400
"740",4,23,966000,4023966000
"741",4,23,966101,4023966101
"742",4,23,966103,4023966103
"743",4,23,966104,4023966104
"744",4,23,966105,4023966105
"745",4,23,966200,4023966200
"746",4,23,966301,4023966301
"747",4,23,966302,4023966302
"748",4,23,966401,4023966401
"749",4,23,966402,4023966402
"750",4,25,203,4025000203
"751",4,25,204,4025000204
"752",4,25,401,4025000401
"753",4,25,402,4025000402
"754",4,25,604,4025000604
"755",4,25,605,4025000605
"756",4,25,606,4025000606
"757",4,25,607,4025000607
"758",4,25,608,4025000608
"759",4,25,609,4025000609
"760",4,25,610,4025000610
"761",4,25,1001,4025001001
"762",4,25,1002,4025001002
"763",4,25,1401,4025001401
"764",4,25,1402,4025001402
"765",4,25,1403,4025001403
"766",4,25,1601,4025001601
"767",4,25,1602,4025001602
"768",4,25,1603,4025001603
"769",4,25,1701,4025001701
"770",4,25,1702,4025001702
"771",4,25,1703,4025001703
"772",4,25,1801,4025001801
"773",4,25,1802,4025001802
"774",4,25,2001,4025002001
"775",4,25,2002,4025002002
"776",4,25,2003,4025002003
"777",4,25,2004,4025002004
"778",4,25,2100,4025002100
"779",4,27,403,4027000403
"780",4,27,404,4027000404
"781",4,27,501,4027000501
"782",4,27,502,4027000502
"783",4,27,905,4027000905
"784",4,27,907,4027000907
"785",4,27,908,4027000908
"786",4,27,1001,4027001001
"787",4,27,1003,4027001003
"788",4,27,1004,4027001004
"789",4,27,10905,4027010905
"790",4,27,10907,4027010907
"791",4,27,10910,4027010910
"792",4,27,10911,4027010911
"793",4,27,10913,4027010913
"794",4,27,10914,4027010914
"795",4,27,11104,4027011104
"796",4,27,11106,4027011106
"797",4,27,11107,4027011107
"798",4,27,11108,4027011108
"799",4,27,11110,4027011110
"800",4,27,11111,4027011111
"801",4,27,11112,4027011112
"802",4,27,11114,4027011114
"803",4,27,11115,4027011115
"804",4,27,11201,4027011201
"805",4,27,11202,4027011202
"806",4,27,11403,4027011403
"807",4,27,11405,4027011405
"808",4,27,11406,4027011406
"809",4,27,11503,4027011503
"810",4,27,11504,4027011504
"811",4,27,11700,4027011700
"812",4,27,11800,4027011800
"813",4,27,12100,4027012100
"814",4,27,980003,4027980003
"815",4,27,980004,4027980004
"816",4,27,980005,4027980005
"817",4,27,980006,4027980006
