"","geoid","tract.fips","tract.fips20","part.flag","part.flag20","pct.1990","pct.2000","state.fips","state.fips20","county.fips","county.fips20"
"464","0401310380004013104600","103800","104600","P","P",1.7,3.5,"04","04","013","013"
"465","0401310460004013104600","104600","104600"," ","P",100,96.5,"04","04","013","013"
"466","0401310470004013104700","104700","104700"," "," ",100,100,"04","04","013","013"
"467","0401310480104013104801","104801","104801"," ","P",100,99.9,"04","04","013","013"
"468","0401310510104013104801","105101","104801","P","P",0.1,0.1,"04","04","013","013"
"469","0401310480204013104802","104802","104802"," "," ",100,100,"04","04","013","013"
"470","0401310490004013104900","104900","104900"," "," ",100,100,"04","04","013","013"
"471","0401310500104013105001","105001","105001"," ","P",100,100,"04","04","013","013"
"472","0401321690104013105001","216901","105001","P","P",0,0,"04","04","013","013"
"473","0401310500204013105002","105002","105002"," ","P",100,99.5,"04","04","013","013"
"474","0401310790004013105002","107900","105002","P","P",0.1,0.1,"04","04","013","013"
"475","0401321690104013105002","216901","105002","P","P",0,0,"04","04","013","013"
"476","0401321700104013105002","217001","105002","P","P",0.3,0.4,"04","04","013","013"
"477","0401310510104013105101","105101","105101","P"," ",99.9,100,"04","04","013","013"
"478","0401310510204013105102","105102","105102"," ","P",100,99.9,"04","04","013","013"
"479","0401310630004013105102","106300","105102","P","P",0.1,0.1,"04","04","013","013"
"480","0401310510104013105103","105101","105103","P","P",0,0,"04","04","013","013"
"481","0401310510304013105103","105103","105103"," ","P",100,100,"04","04","013","013"
"482","0401310520004013105200","105200","105200"," "," ",100,100,"04","04","013","013"
"483","0401310530004013105300","105300","105300"," "," ",100,100,"04","04","013","013"
"484","0401310540004013105400","105400","105400"," "," ",100,100,"04","04","013","013"
"485","0401310550004013105500","105500","105500"," "," ",100,100,"04","04","013","013"
"486","0401310560004013105601","105600","105601","P"," ",38.6,100,"04","04","013","013"
"487","0401310560004013105602","105600","105602","P"," ",61.4,100,"04","04","013","013"
"488","0401310570004013105701","105700","105701","P"," ",46.2,100,"04","04","013","013"
"489","0401310570004013105702","105700","105702","P"," ",53.8,100,"04","04","013","013"
"490","0401310580004013105800","105800","105800"," "," ",100,100,"04","04","013","013"
"491","0401310590004013105900","105900","105900"," "," ",100,100,"04","04","013","013"
"492","0401310600004013106000","106000","106000"," "," ",100,100,"04","04","013","013"
"493","0401310610004013106100","106100","106100"," "," ",100,100,"04","04","013","013"
"494","0401310620004013106200","106200","106200"," "," ",100,100,"04","04","013","013"
"495","0401310630004013106300","106300","106300","P"," ",99.9,100,"04","04","013","013"
"496","0401310640004013106400","106400","106400"," "," ",100,100,"04","04","013","013"
"497","0401310650004013106500","106500","106500"," "," ",100,100,"04","04","013","013"
"498","0401310660004013106600","106600","106600"," "," ",100,100,"04","04","013","013"
"499","0401310670004013106700","106700","106700"," "," ",100,100,"04","04","013","013"
"500","0401310680004013106800","106800","106800"," "," ",100,100,"04","04","013","013"
"501","0401310690004013106900","106900","106900"," "," ",100,100,"04","04","013","013"
"502","0401310700004013107000","107000","107000"," "," ",100,100,"04","04","013","013"
"503","0401310710004013107101","107100","107101","P"," ",44.3,100,"04","04","013","013"
"504","0401310710004013107102","107100","107102","P"," ",55.7,100,"04","04","013","013"
"505","0401310720004013107201","107200","107201","P"," ",49.9,100,"04","04","013","013"
"506","0401310720004013107202","107200","107202","P"," ",50.1,100,"04","04","013","013"
"507","0401310730004013107300","107300","107300"," "," ",100,100,"04","04","013","013"
"508","0401310740004013107400","107400","107400"," "," ",100,100,"04","04","013","013"
"509","0401310750004013107500","107500","107500"," "," ",100,100,"04","04","013","013"
"510","0401310760004013107600","107600","107600"," "," ",100,100,"04","04","013","013"
"511","0401310770004013107700","107700","107700"," "," ",100,100,"04","04","013","013"
"512","0401310780004013107800","107800","107800"," "," ",100,100,"04","04","013","013"
"513","0401310790004013107900","107900","107900","P"," ",99.9,100,"04","04","013","013"
"514","0401310800004013108000","108000","108000"," "," ",100,100,"04","04","013","013"
"515","0401310810004013108100","108100","108100"," "," ",100,100,"04","04","013","013"
"516","0401310820004013108200","108200","108200"," "," ",100,100,"04","04","013","013"
"517","0401310830004013108300","108300","108300"," "," ",100,100,"04","04","013","013"
"518","0401310840004013108400","108400","108400"," "," ",100,100,"04","04","013","013"
"519","0401310850004013108500","108500","108500"," "," ",100,100,"04","04","013","013"
"520","0401310860004013108601","108600","108601","P"," ",43.7,100,"04","04","013","013"
"521","0401310860004013108602","108600","108602","P"," ",56.3,100,"04","04","013","013"
"522","0401310870004013108700","108700","108700"," "," ",100,100,"04","04","013","013"
"523","0401310880004013108801","108800","108801","P"," ",33.7,100,"04","04","013","013"
"524","0401310880004013108802","108800","108802","P"," ",66.3,100,"04","04","013","013"
"525","0401310890004013108901","108900","108901","P"," ",38.5,100,"04","04","013","013"
"526","0401310890004013108902","108900","108902","P"," ",61.5,100,"04","04","013","013"
"527","0401310900004013109000","109000","109000"," "," ",100,100,"04","04","013","013"
"528","0401310910004013109100","109100","109100"," "," ",100,100,"04","04","013","013"
"529","0401310920004013109200","109200","109200"," "," ",100,100,"04","04","013","013"
"530","0401310930004013109300","109300","109300"," "," ",100,100,"04","04","013","013"
"531","0401310940004013109400","109400","109400"," "," ",100,100,"04","04","013","013"
"532","0401310950004013109500","109500","109500"," "," ",100,100,"04","04","013","013"
"533","0401310960104013109601","109601","109601","P"," ",53,100,"04","04","013","013"
"534","0401310960204013109602","109602","109602","P"," ",59.9,100,"04","04","013","013"
"535","0401310960104013109603","109601","109603","P"," ",47,100,"04","04","013","013"
"536","0401310960204013109604","109602","109604","P"," ",40.1,100,"04","04","013","013"
"537","0401310970104013109701","109701","109701","P"," ",73.2,100,"04","04","013","013"
"538","0401310970204013109702","109702","109702","P"," ",54.6,100,"04","04","013","013"
"539","0401310970104013109703","109701","109703","P"," ",26.8,100,"04","04","013","013"
"540","0401310970204013109704","109702","109704","P"," ",25.2,100,"04","04","013","013"
"541","0401310970204013109705","109702","109705","P"," ",20.2,100,"04","04","013","013"
"542","0401310980004013109801","109800","109801","P"," ",46.1,100,"04","04","013","013"
"543","0401310980004013109802","109800","109802","P"," ",53.9,100,"04","04","013","013"
"544","0401310990004013109900","109900","109900"," "," ",100,100,"04","04","013","013"
"545","0401311000004013110001","110000","110001","P"," ",49.1,100,"04","04","013","013"
"546","0401311000004013110002","110000","110002","P"," ",50.9,100,"04","04","013","013"
"547","0401311010004013110100","110100","110100"," "," ",100,100,"04","04","013","013"
"548","0401311020004013110200","110200","110200"," "," ",100,100,"04","04","013","013"
"549","0401311030004013110300","110300","110300"," "," ",100,100,"04","04","013","013"
"550","0401311040004013110400","110400","110400"," "," ",100,100,"04","04","013","013"
"551","0401311050004013110500","110500","110500"," "," ",100,100,"04","04","013","013"
"552","0401311060004013110600","110600","110600"," "," ",100,100,"04","04","013","013"
"553","0401311070004013110701","110700","110701","P"," ",36.6,100,"04","04","013","013"
"554","0401311070004013110702","110700","110702","P"," ",63.4,100,"04","04","013","013"
"555","0401311080004013110800","110800","110800"," "," ",100,100,"04","04","013","013"
