"","STATE00","COUNTY00","TRACT00","GEOID00","POP00","HU00","PART00","AREA00","AREALAND00","STATE10","COUNTY10","TRACT10","GEOID10","POP10","HU10","PART10","AREA10","AREALAND10","AREAPT","AREALANDPT","AREAPCT00PT","ARELANDPCT00PT","AREAPCT10PT","AREALANDPCT10PT","POP10PT","POPPCT00","POPPCT10","HU10PT","HUPCT00","HUPCT10"
"106",4,7,600,4007000600,1640,1358,"P",1314834601,1314339475,4,7,600,4007000600,1640,1358,"P",1313357388,1312862262,1313357152,1312862026,99.89,99.89,100,100,1640,100,100,1358,100,100
"107",4,7,600,4007000600,1640,1358,"P",1314834601,1314339475,4,7,940200,4007940200,1678,460,"P",2138447051,2134058898,1477449,1477449,0.11,0.11,0.07,0.07,0,0,0,0,0,0
"108",4,7,700,4007000700,1710,1644,"W",2077733340,2034028760,4,7,700,4007000700,1710,1644,"W",2077733340,2034028760,2077733340,2034028760,100,100,100,100,1710,100,100,1644,100,100
"109",4,7,800,4007000800,1281,1178,"W",662778239,641266442,4,7,800,4007000800,1281,1178,"W",662778239,641266442,662778239,641266442,100,100,100,100,1281,100,100,1178,100,100
"110",4,7,900,4007000900,2884,1430,"W",17390692,17308516,4,7,900,4007000900,2884,1430,"W",17390692,17308516,17390692,17308516,100,100,100,100,2884,100,100,1430,100,100
"111",4,7,1000,4007001000,5094,2483,"W",922154000,920678822,4,7,1000,4007001000,5094,2483,"W",922154000,920678822,922154000,920678822,100,100,100,100,5094,100,100,2483,100,100
"112",4,7,1100,4007001100,3852,1987,"W",23764846,23708892,4,7,1100,4007001100,3852,1987,"W",23764846,23708892,23764846,23708892,100,100,100,100,3852,100,100,1987,100,100
"113",4,7,1200,4007001200,5023,2012,"W",179875948,179852502,4,7,1200,4007001200,5023,2012,"W",179875948,179852502,179875948,179852502,100,100,100,100,5023,100,100,2012,100,100
"114",4,7,1300,4007001300,1340,642,"W",382100862,381428442,4,7,1300,4007001300,1340,642,"W",382100862,381428442,382100862,381428442,100,100,100,100,1340,100,100,642,100,100
"115",4,7,940200,4007940200,1678,460,"W",2136969602,2132581449,4,7,940200,4007940200,1678,460,"P",2138447051,2134058898,2136969602,2132581449,100,100,99.93,99.93,1678,100,100,460,100,100
"116",4,7,940400,4007940400,5288,1455,"W",2636585626,2612707220,4,7,940400,4007940400,5288,1455,"W",2636585626,2612707220,2636585626,2612707220,100,100,100,100,5288,100,100,1455,100,100
"117",4,9,940500,4009940500,4780,1171,"W",4395560156,4364926123,4,9,940500,4009940500,4780,1171,"W",4395560156,4364926123,4395560156,4364926123,100,100,100,100,4780,100,100,1171,100,100
"118",4,9,991100,4009991100,4385,1772,"W",1482280513,1477377750,4,9,961100,4009961100,4385,1772,"W",1482280513,1477377750,1482280513,1477377750,100,100,100,100,4385,100,100,1772,100,100
"119",4,9,991200,4009991200,7178,2669,"P",88181178,86642112,4,9,961201,4009961201,3569,1297,"W",22730207,21266086,22730207,21266086,25.78,24.54,100,100,3569,49.72,100,1297,48.59,100
"120",4,9,991200,4009991200,7178,2669,"P",88181178,86642112,4,9,961202,4009961202,3609,1372,"W",65450971,65376026,65450971,65376026,74.22,75.46,100,100,3609,50.28,100,1372,51.41,100
"121",4,9,991300,4009991300,3409,1513,"W",3416221,3416221,4,9,961300,4009961300,3409,1513,"W",3416221,3416221,3416221,3416221,100,100,100,100,3409,100,100,1513,100,100
