"","geoid","state.fips","county.fips","tract.fips","pct.1990"
"371","04013092306","04","013","092306",100
"372","04013092307","04","013","092307",100
"373","04013092308","04","013","092308",100
"374","04013092309","04","013","092309",100
"375","04013092304","04","013","092304",29.4
"376","04013092400","04","013","092400",100
"377","04013092500","04","013","092500",100
"378","04013092600","04","013","092600",100
"379","04013092703","04","013","092703",100
"380","04013092704","04","013","092704",1.2
"381","04013092705","04","013","092705",32.2
"382","04013082002","04","013","082002",0.1
"383","04013082006","04","013","082006",0
"384","04013092706","04","013","092706",59.1
"385","04013092707","04","013","092707",100
"386","04013092708","04","013","092708",100
"387","04013092709","04","013","092709",100
"388","04013092706","04","013","092706",40.9
"389","04013092704","04","013","092704",20.6
"390","04013092704","04","013","092704",35
"391","04013092704","04","013","092704",43.2
"392","04013092705","04","013","092705",67.8
"393","04013092800","04","013","092800",100
"394","04013092900","04","013","092900",100
"395","04013093000","04","013","093000",100
"396","04013093101","04","013","093101",52.7
"397","04013093102","04","013","093102",100
"398","04013093101","04","013","093101",47.3
"399","04013103205","04","013","103205",100
"400","04013103206","04","013","103206",100
"401","04013103207","04","013","103207",100
"402","04013103208","04","013","103208",100
"403","04013103209","04","013","103209",100
"404","04013103210","04","013","103210",100
"405","04013103211","04","013","103211",100
"406","04013103212","04","013","103212",100
"407","04013103214","04","013","103214",100
"408","04013103218","04","013","103218",0.3
"409","04013103215","04","013","103215",100
"410","04013103216","04","013","103216",100
"411","04013103217","04","013","103217",100
"412","04013103218","04","013","103218",99.7
"413","04013103302","04","013","103302",100
"414","04013103303","04","013","103303",100
"415","04013103304","04","013","103304",38.3
"416","04013103304","04","013","103304",29.1
"417","04013103304","04","013","103304",32.4
"418","04013103400","04","013","103400",100
"419","04013103304","04","013","103304",0.1
"420","04013103501","04","013","103501",97.8
"421","04013103502","04","013","103502",0
"422","04013103501","04","013","103501",2.2
"423","04013103502","04","013","103502",100
"424","04013103604","04","013","103604",43.7
"425","04013103604","04","013","103604",1
"426","04013103605","04","013","103605",100
"427","04013103606","04","013","103606",100
"428","04013103607","04","013","103607",50.7
"429","04013103608","04","013","103608",100
"430","04013103609","04","013","103609",100
"431","04013103607","04","013","103607",49.3
"432","04013103604","04","013","103604",55.3
"433","04013103800","04","013","103800",37.5
"434","04013103800","04","013","103800",60.9
"435","04013103700","04","013","103700",100
"436","04013103900","04","013","103900",100
"437","04013104000","04","013","104000",100
"438","04013104100","04","013","104100",100
"439","04013104202","04","013","104202",100
"440","04013104203","04","013","104203",100
"441","04013104204","04","013","104204",100
"442","04013104205","04","013","104205",100
"443","04013104206","04","013","104206",100
"444","04013104207","04","013","104207",100
"445","04013104212","04","013","104212",100
"446","04013104214","04","013","104214",100
"447","04013104215","04","013","104215",100
"448","04013104216","04","013","104216",100
"449","04013104217","04","013","104217",100
"450","04013104218","04","013","104218",100
"451","04013104219","04","013","104219",100
"452","04013104221","04","013","104221",73.4
"453","04013104222","04","013","104222",100
"454","04013104223","04","013","104223",100
"455","04013104223","04","013","104223",0
"456","04013104224","04","013","104224",100
"457","04013104225","04","013","104225",100
"458","04013104226","04","013","104226",100
"459","04013104221","04","013","104221",26.6
"460","04013104300","04","013","104300",100
"461","04013104400","04","013","104400",100
"462","04013104500","04","013","104500",45.2
"463","04013104500","04","013","104500",54.8
"464","04013103800","04","013","103800",1.7
"465","04013104600","04","013","104600",100
"466","04013104700","04","013","104700",100
"467","04013104801","04","013","104801",100
"468","04013105101","04","013","105101",0.1
"469","04013104802","04","013","104802",100
"470","04013104900","04","013","104900",100
"471","04013105001","04","013","105001",100
"472","04013216901","04","013","216901",0
"473","04013105002","04","013","105002",100
"474","04013107900","04","013","107900",0.1
"475","04013216901","04","013","216901",0
"476","04013217001","04","013","217001",0.3
"477","04013105101","04","013","105101",99.9
"478","04013105102","04","013","105102",100
"479","04013106300","04","013","106300",0.1
"480","04013105101","04","013","105101",0
"481","04013105103","04","013","105103",100
"482","04013105200","04","013","105200",100
"483","04013105300","04","013","105300",100
"484","04013105400","04","013","105400",100
"485","04013105500","04","013","105500",100
"486","04013105600","04","013","105600",38.6
"487","04013105600","04","013","105600",61.4
"488","04013105700","04","013","105700",46.2
"489","04013105700","04","013","105700",53.8
"490","04013105800","04","013","105800",100
"491","04013105900","04","013","105900",100
"492","04013106000","04","013","106000",100
"493","04013106100","04","013","106100",100
"494","04013106200","04","013","106200",100
"495","04013106300","04","013","106300",99.9
"496","04013106400","04","013","106400",100
"497","04013106500","04","013","106500",100
"498","04013106600","04","013","106600",100
"499","04013106700","04","013","106700",100
"500","04013106800","04","013","106800",100
"501","04013106900","04","013","106900",100
"502","04013107000","04","013","107000",100
"503","04013107100","04","013","107100",44.3
"504","04013107100","04","013","107100",55.7
"505","04013107200","04","013","107200",49.9
"506","04013107200","04","013","107200",50.1
"507","04013107300","04","013","107300",100
"508","04013107400","04","013","107400",100
"509","04013107500","04","013","107500",100
"510","04013107600","04","013","107600",100
"511","04013107700","04","013","107700",100
"512","04013107800","04","013","107800",100
"513","04013107900","04","013","107900",99.9
"514","04013108000","04","013","108000",100
"515","04013108100","04","013","108100",100
"516","04013108200","04","013","108200",100
"517","04013108300","04","013","108300",100
"518","04013108400","04","013","108400",100
"519","04013108500","04","013","108500",100
"520","04013108600","04","013","108600",43.7
"521","04013108600","04","013","108600",56.3
"522","04013108700","04","013","108700",100
"523","04013108800","04","013","108800",33.7
"524","04013108800","04","013","108800",66.3
"525","04013108900","04","013","108900",38.5
"526","04013108900","04","013","108900",61.5
"527","04013109000","04","013","109000",100
"528","04013109100","04","013","109100",100
"529","04013109200","04","013","109200",100
"530","04013109300","04","013","109300",100
"531","04013109400","04","013","109400",100
"532","04013109500","04","013","109500",100
"533","04013109601","04","013","109601",53
"534","04013109602","04","013","109602",59.9
"535","04013109601","04","013","109601",47
"536","04013109602","04","013","109602",40.1
"537","04013109701","04","013","109701",73.2
"538","04013109702","04","013","109702",54.6
"539","04013109701","04","013","109701",26.8
"540","04013109702","04","013","109702",25.2
"541","04013109702","04","013","109702",20.2
"542","04013109800","04","013","109800",46.1
"543","04013109800","04","013","109800",53.9
"544","04013109900","04","013","109900",100
"545","04013110000","04","013","110000",49.1
"546","04013110000","04","013","110000",50.9
"547","04013110100","04","013","110100",100
"548","04013110200","04","013","110200",100
"549","04013110300","04","013","110300",100
"550","04013110400","04","013","110400",100
"551","04013110500","04","013","110500",100
"552","04013110600","04","013","110600",100
"553","04013110700","04","013","110700",36.6
"554","04013110700","04","013","110700",63.4
"555","04013110800","04","013","110800",100
"556","04013110900","04","013","110900",100
"557","04013111000","04","013","111000",100
"558","04013111100","04","013","111100",100
"559","04013217400","04","013","217400",0
"560","04013111201","04","013","111201",100
"561","04013111202","04","013","111202",37
"562","04013111202","04","013","111202",21.6
"563","04013111202","04","013","111202",41.3
"564","04013111300","04","013","111300",100
"565","04013111400","04","013","111400",51.1
"566","04013111400","04","013","111400",48.9
"567","04013111500","04","013","111500",26.2
"568","04013111500","04","013","111500",73.8
"569","04013111600","04","013","111600",33.3
"570","04013111600","04","013","111600",66.7
"571","04013111700","04","013","111700",100
"572","04013111800","04","013","111800",100
"573","04013111900","04","013","111900",100
"574","04013112000","04","013","112000",100
"575","04013112100","04","013","112100",100
"576","04013112200","04","013","112200",50.6
"577","04013112200","04","013","112200",49.4
"578","04013112300","04","013","112300",43.5
"579","04013112300","04","013","112300",56.5
"580","04013112400","04","013","112400",52.4
"581","04013112400","04","013","112400",47.6
"582","04013112502","04","013","112502",60.4
"583","04013112503","04","013","112503",100
"584","04013112502","04","013","112502",39.6
"585","04013112505","04","013","112505",100
"586","04013112506","04","013","112506",52.5
"587","04013112506","04","013","112506",26.8
"588","04013112506","04","013","112506",20.6
"589","04013112600","04","013","112600",29.9
"590","04013112600","04","013","112600",70.1
"591","04013112700","04","013","112700",100
"592","04013112800","04","013","112800",100
"593","04013112900","04","013","112900",100
"594","04013113000","04","013","113000",100
"595","04013113100","04","013","113100",0.1
"596","04013113100","04","013","113100",99.9
"597","04013113200","04","013","113200",34.8
"598","04013113200","04","013","113200",33.3
"599","04013113200","04","013","113200",31.9
"600","04013113300","04","013","113300",100
"601","04013113400","04","013","113400",100
"602","04013113500","04","013","113500",2.5
"603","04013113500","04","013","113500",97.5
"604","04013113600","04","013","113600",44.3
"605","04013113600","04","013","113600",55.7
"606","04013113700","04","013","113700",100
"607","04013113800","04","013","113800",100
"608","04013113900","04","013","113900",100
"609","04013114000","04","013","114000",100
"610","04013114100","04","013","114100",100
"611","04013114200","04","013","114200",100
"612","04013114900","04","013","114900",0
"613","04013114300","04","013","114300",33.1
"614","04013114300","04","013","114300",66.9
"615","04013114400","04","013","114400",47.5
"616","04013114400","04","013","114400",52.5
"617","04013114500","04","013","114500",100
"618","04013114600","04","013","114600",100
"619","04013114700","04","013","114700",11
"620","04013114700","04","013","114700",10
"621","04013114700","04","013","114700",79.1
"622","04013114800","04","013","114800",100
"623","04013114900","04","013","114900",100
"624","04013115000","04","013","115000",100
"625","04013115100","04","013","115100",100
"626","04013115200","04","013","115200",100
"627","04013115300","04","013","115300",100
"628","04013115400","04","013","115400",100
"629","04013115500","04","013","115500",100
"630","04013115600","04","013","115600",100
"631","04013115700","04","013","115700",100
"632","04013115800","04","013","115800",60.7
"633","04013115800","04","013","115800",39.3
"634","04013115900","04","013","115900",100
"635","04013116000","04","013","116000",100
"636","04013116100","04","013","116100",100
"637","04013116202","04","013","116202",55.2
"638","04013116203","04","013","116203",100
"639","04013116204","04","013","116204",100
"640","04013116202","04","013","116202",44.8
"641","04013116300","04","013","116300",100
"642","04013116400","04","013","116400",100
"643","04013116500","04","013","116500",100
"644","04013116601","04","013","116601",70.1
"645","04013623200","04","013","623200",0
"646","04013116602","04","013","116602",100
"647","04013116702","04","013","116702",92.9
"648","04013116703","04","013","116703",100
"649","04013116704","04","013","116704",100
"650","04013116707","04","013","116707",0
"651","04013116601","04","013","116601",29.9
"652","04013116702","04","013","116702",7.1
"653","04013116705","04","013","116705",100
"654","04013116704","04","013","116704",0
"655","04013116707","04","013","116707",40
"656","04013116708","04","013","116708",100
"657","04013116707","04","013","116707",30.7
"658","04013116710","04","013","116710",99.3
"659","04013116710","04","013","116710",0.7
"660","04013116711","04","013","116711",26.6
"661","04013116712","04","013","116712",100
"662","04013116713","04","013","116713",100
"663","04013116714","04","013","116714",9.8
"664","04013116707","04","013","116707",29.3
"665","04013116711","04","013","116711",48
"666","04013116711","04","013","116711",25.4
"667","04013116714","04","013","116714",17.6
"668","04013116714","04","013","116714",9.6
"669","04013116714","04","013","116714",10.3
"670","04013116714","04","013","116714",11.5
"671","04013116714","04","013","116714",7.5
"672","04013116714","04","013","116714",9.6
"673","04013116714","04","013","116714",11.3
"674","04013116714","04","013","116714",12.8
"675","04013103209","04","013","103209",0
"676","04013216802","04","013","216802",100
"677","04013216806","04","013","216806",100
"678","04013216807","04","013","216807",100
"679","04013216809","04","013","216809",0
"680","04013216809","04","013","216809",33.9
"681","04013216809","04","013","216809",10
"682","04013216809","04","013","216809",55
"683","04013216812","04","013","216812",100
"684","04013216813","04","013","216813",100
"685","04013216814","04","013","216814",100
"686","04013216815","04","013","216815",36.8
"687","04013216816","04","013","216816",100
"688","04013216817","04","013","216817",0
"689","04013216818","04","013","216818",59.2
"690","04013216817","04","013","216817",0
"691","04013216819","04","013","216819",54.9
"692","04013216818","04","013","216818",40.8
"693","04013216818","04","013","216818",0.1
"694","04013216819","04","013","216819",45.1
"695","04013216817","04","013","216817",6.4
"696","04013216817","04","013","216817",16.3
"697","04013216817","04","013","216817",14.1
"698","04013216809","04","013","216809",1.2
"699","04013216817","04","013","216817",36.9
"700","04013216815","04","013","216815",20.1
"701","04013216815","04","013","216815",43.1
"702","04013216817","04","013","216817",19.6
"703","04013216817","04","013","216817",6
"704","04013216901","04","013","216901",100
"705","04013216902","04","013","216902",100
"706","04013217001","04","013","217001",99.7
"707","04013217002","04","013","217002",100
"708","04013217101","04","013","217101",100
"709","04013217102","04","013","217102",100
"710","04013217201","04","013","217201",100
"711","04013217202","04","013","217202",100
"712","04013217300","04","013","217300",100
"713","04013111100","04","013","111100",0
"714","04013217400","04","013","217400",100
"715","04013217500","04","013","217500",100
"716","04013217600","04","013","217600",100
"717","04013217700","04","013","217700",100
"718","04013217800","04","013","217800",100
"719","04013217900","04","013","217900",100
"720","04013218000","04","013","218000",100
"721","04013218100","04","013","218100",100
"722","04013218200","04","013","218200",100
"723","04013218300","04","013","218300",100
"724","04013318400","04","013","318400",99.6
"725","04013421201","04","013","421201",0
"726","04013318501","04","013","318501",100
"727","04013318502","04","013","318502",100
"728","04013318600","04","013","318600",95.8
"729","04013318502","04","013","318502",0
"730","04013318600","04","013","318600",4.2
"731","04013318700","04","013","318700",0
"732","04013318700","04","013","318700",100
"733","04013318800","04","013","318800",100
"734","04013318900","04","013","318900",100
"735","04013319000","04","013","319000",100
"736","04013319100","04","013","319100",24
"737","04013319100","04","013","319100",76
"738","04013319200","04","013","319200",100
"739","04013319300","04","013","319300",100
"740","04013319401","04","013","319401",100
"741","04013319402","04","013","319402",100
"742","04013319403","04","013","319403",100
"743","04013319402","04","013","319402",0
"744","04013319404","04","013","319404",100
"745","04013422205","04","013","422205",0
"746","04013319500","04","013","319500",100
"747","04013319600","04","013","319600",100
"748","04013319702","04","013","319702",100
"749","04013319703","04","013","319703",0.7
"750","04013319703","04","013","319703",99.3
"751","04013319704","04","013","319704",100
"752","04013319800","04","013","319800",100
"753","04013319902","04","013","319902",100
"754","04013319903","04","013","319903",100
"755","04013319904","04","013","319904",100
"756","04013422212","04","013","422212",0.4
"757","04013319905","04","013","319905",100
"758","04013319906","04","013","319906",100
"759","04013319907","04","013","319907",27.8
"760","04013319908","04","013","319908",100
"761","04013319907","04","013","319907",28.2
"762","04013319907","04","013","319907",44
"763","04013320001","04","013","320001",50
"764","04013320002","04","013","320002",100
"765","04013320001","04","013","320001",50
"766","04013420101","04","013","420101",22.3
"767","04013420102","04","013","420102",100
"768","04013420103","04","013","420103",100
"769","04013420101","04","013","420101",18.8
"770","04013420101","04","013","420101",17.6
"771","04013420101","04","013","420101",41.3
"772","04013420202","04","013","420202",32.4
"773","04013420203","04","013","420203",100
"774","04013420204","04","013","420204",49.3
"775","04013420206","04","013","420206",36.1
"776","04013420206","04","013","420206",3.1
"777","04013420207","04","013","420207",100
"778","04013420202","04","013","420202",37.7
"779","04013420202","04","013","420202",29.8
