"","X","STATE00","COUNTY00","TRACT00","GEOID00","POP00","HU00","PART00","AREA00","AREALAND00","STATE10","COUNTY10","TRACT10","GEOID10","POP10","HU10","PART10","AREA10","AREALAND10","AREAPT","AREALANDPT","AREAPCT00PT","ARELANDPCT00PT","AREAPCT10PT","AREALANDPCT10PT","POP10PT","POPPCT00","POPPCT10","HU10PT","HUPCT00","HUPCT10"
"594",738,4,13,113602,4013113602,3400,1107,"P",1068372,1055821,4,13,113501,4013113501,4416,1495,"P",1284222,1280124,308,308,0.03,0.03,0.02,0.02,0,0,0,0,0,0
"595",739,4,13,113602,4013113602,3400,1107,"P",1068372,1055821,4,13,113602,4013113602,3400,1107,"P",1072558,1059945,1068064,1055513,99.97,99.97,99.58,99.58,3400,100,100,1107,100,100
"601",745,4,13,113800,4013113800,2152,1259,"P",18875866,18781408,4,13,320100,4013320100,2558,1652,"P",4885392,4796624,3603,3603,0.02,0.02,0.07,0.08,0,0,0,0,0,0
"606",750,4,13,114200,4013114200,1539,562,"W",1283140,1283140,4,13,114200,4013114200,1539,562,"P",1283912,1283912,1283140,1283140,100,100,99.94,99.94,1539,100,100,562,100,100
"614",758,4,13,114702,4013114702,853,277,"W",584017,584017,4,13,117300,4013117300,1677,517,"P",8190697,8068230,584017,584017,100,100,7.13,7.24,853,100,50.86,277,100,53.58
"619",763,4,13,115100,4013115100,56,25,"W",3590135,3590135,4,13,117200,4013117200,1353,513,"P",6630458,6624811,3590135,3590135,100,100,54.15,54.19,56,100,4.14,25,100,4.87
"621",765,4,13,115200,4013115200,2623,950,"P",7240346,7149744,4,13,319704,4013319704,1483,721,"P",7899156,7855127,4198,4198,0.06,0.06,0.05,0.05,0,0,0,0,0,0
"655",799,4,13,116705,4013116705,4149,1594,"P",75761207,75757446,4,13,116611,4013116611,3217,1199,"P",12668790,12668790,3516433,3516433,4.64,4.64,27.76,27.76,420,10.12,13.06,179,11.23,14.93
"661",805,4,13,116709,4013116709,1789,931,"P",1203480,1203480,4,13,320002,4013320002,5523,1376,"P",2086386,2086386,20782,20782,1.73,1.73,1,1,0,0,0,0,0,0
"681",825,4,13,216802,4013216802,6040,3294,"P",7297403,7291833,4,13,103209,4013103209,5353,2545,"P",6579557,6458642,471,471,0.01,0.01,0.01,0.01,0,0,0,0,0,0
